Time (s),Torque (Nm),Speed (RPM),Watts
0.0,-0.03,0.0,0
0.6016316413879395,-0.03,0.0,0
1.1882283687591553,-0.03,0.0,0
1.7963881492614746,-0.03,0.0,0
2.4023778438568115,-0.03,0.0,0
3.007000684738159,0.0,130.2,0
3.612774610519409,0.03,26.3,0
4.216789960861206,0.0,0.0,0
4.820704936981201,0.09,280.2,5
5.419110536575317,0.68,101.2,5
6.019702672958374,0.14,48.5,0
6.620953559875488,0.0,264.6,0
7.221776247024536,1.36,1073.3,197
7.824777126312256,0.02,20.8,0
8.430777311325073,-0.03,20.8,0
9.018420696258545,-0.03,0.0,0
9.603707075119019,-0.03,0.2,0
10.18883466720581,-0.03,0.2,0
10.776870012283325,-0.03,0.0,0
11.344582796096802,-0.03,0.0,0
11.948965787887573,-0.03,0.0,0
12.55491852760315,-0.03,0.0,0
13.160088539123535,-0.03,0.0,0
13.762986183166504,-0.03,0.0,0
14.367987871170044,-0.039999999999999994,0.0,0
14.975274324417114,0.0,202.2,0
15.577823638916016,0.02,628.5,2
16.1827449798584,0.12,969.4,15
16.786744832992554,1.26,192.3,15
17.39074444770813,0.42,199.7,7
17.991999626159668,1.04,535.9,66
18.592101573944092,0.72,753.1,66
19.195690631866455,1.08,747.7,82
19.79660201072693,0.9,613.2,56
20.399431943893433,1.03,615.7,72
20.999661684036255,1.17,66.2,8
21.601712465286255,-0.03,24.6,0
22.203355312347412,-0.03,24.6,0
22.80591607093811,-0.03,0.0,0
23.4122531414032,-0.020000000000000004,33.9,0
24.01577615737915,0.0,348.2,0
24.618138074874878,0.0,1396.9,4
25.22247886657715,0.22,2246.7,78
25.82347798347473,1.04,2162.3,235
26.425379037857056,1.6,76.5,10
27.029381036758423,-0.03,76.5,0
27.634379863739014,-0.03,0.0,0
28.220436096191406,-0.03,0.0,0
